skills,1,2,2,26,1661,9.06,10.82,2
skills,2,3,2,34,4838,37.97,11.22,3
skills,3,3,2,34,4838,38.15,11.24,3
skills,4,3,2,34,4838,37.39,11.13,2
skills,5,3,2,34,4838,38.57,11.34,7
skills,6,3,2,34,4838,37.89,11.28,7
skills,7,3,2,34,4838,37.84,11.15,5
skills,8,3,2,34,4838,37.79,11.19,7
skills,1,2,2,26,965,8.53,10.87,2
skills,2,3,2,34,2774,35.19,11.30,3
skills,3,3,2,34,2774,36.65,11.61,3
skills,4,3,2,34,2774,35.17,11.34,2
skills,5,3,2,34,2774,35.54,11.16,7
skills,6,3,2,34,2774,35.97,11.35,7
skills,7,3,2,34,2774,35.26,11.20,5
skills,8,3,2,34,2774,35.47,11.64,7
